Person_ID,Name,Age,Gender,Criminal_History,Case_Number,Crime_Description,Crime_Type,IUCR,FBI_Code,Domestic,Arrested,Crime_Location,Block,Beat,District,Ward,Community_Area,Latitude,Longitude,X_Coordinate,Y_Coordinate,Date_of_Crime,Year,Updated_On,Social_Media_Activity,Facial_Recognition_Match
P00665,Andrea Garza,84,Female,Yes,C2022-XYZ00022,Homicide reported near Sandra Plains,Homicide,5100,106,No,No,"Salt Lake, Kolkata",9360 Block of Clements Coves,490,13,22,75,22.585,88.4154,887402,457713,2022-08-30,2022,2022-09-22,Suspicious,88.34
P00015,Anna Peterson,97,Female,No,C2019-XYZ00023,Fraud reported near Benson Track,Fraud,2100,103,No,No,"Salt Lake, Kolkata",9079 Block of Yoder Drives,788,24,12,72,22.585,88.4154,140435,649289,2023-04-04,2023,2023-06-03,Inactive,31.0
P00564,Peter Butler,54,Other,Yes,C2019-XYZ00024,Robbery reported near Harrell Groves,Robbery,1100,101,Yes,No,"Viman Nagar, Pune",8061 Block of Martinez Courts,954,29,27,2,18.5679,73.9143,305186,322403,2020-09-04,2020,2020-12-13,Active,52.83
P00534,Thomas Malone,53,Male,No,C2023-XYZ00025,Theft reported near Perez Walks,Theft,6100,107,No,No,"Sector 62, Noida",7561 Block of Bobby Course,203,25,1,51,28.6102,77.367,276027,144528,2024-06-19,2024,2024-09-08,Active,37.92
P00164,Stephanie Powell,102,Female,No,C2024-XYZ00026,Kidnapping reported near Michael Manors,Kidnapping,7100,108,Yes,No,"Viman Nagar, Pune",3964 Block of Ross Run,740,24,9,12,18.5679,73.9143,717268,217144,2020-11-22,2020,2021-05-17,Inactive,67.05
P00760,Michelle Mcneil,3,Other,No,C2020-XYZ00027,Theft reported near Amy Gateway,Theft,6100,107,Yes,No,"Koramangala, Bangalore",5210 Block of John Court,170,30,26,49,12.9352,77.6146,520853,562730,2022-02-15,2022,2022-04-01,Active,23.55
P00627,Jeffery Fitzpatrick,2,Female,Yes,C2020-XYZ00028,Cybercrime reported near Shepherd Course,Cybercrime,3100,104,Yes,No,"T. Nagar, Chennai",132 Block of Fox Plains,484,9,23,8,13.0424,80.2336,680361,407888,2025-07-24,2025,2025-12-23,Suspicious,7.22
P00614,Nicole Best,62,Female,No,C2022-XYZ00029,Drug Offense reported near Holly Divide,Drug Offense,4100,105,No,No,"Andheri East, Mumbai",4168 Block of Shane Square,986,13,30,23,19.1197,72.8696,136773,533195,2022-04-07,2022,2022-08-29,Inactive,96.92
P00603,Ryan Johnson,89,Other,Yes,C2019-XYZ00030,Fraud reported near Tyrone Prairie,Fraud,2100,103,Yes,Yes,"Sector 62, Noida",5343 Block of Garcia Flats,408,15,41,60,28.6102,77.367,370989,923443,2021-12-29,2021,2022-06-12,Suspicious,18.22
P00834,Cassandra Wood,28,Female,No,C2021-XYZ00031,Theft reported near Warren Mountain,Theft,6100,107,No,Yes,"T. Nagar, Chennai",4238 Block of Ray Tunnel,293,4,11,30,13.0424,80.2336,169167,340990,2023-09-14,2023,2023-10-29,Inactive,32.13
P00324,Briana Conner,31,Other,Yes,C2023-XYZ00032,Cybercrime reported near Alexander Walks,Cybercrime,3100,104,Yes,Yes,"T. Nagar, Chennai",8657 Block of Jared Underpass,416,12,27,17,13.0424,80.2336,532373,228731,2024-08-13,2024,2024-11-28,Active,1.72
P00255,Ernest Wolfe,66,Female,Yes,C2023-XYZ00033,Drug Offense reported near Williams Pass,Drug Offense,4100,105,No,No,"Sector 62, Noida",1710 Block of Michelle Squares,757,16,14,67,28.6102,77.367,638663,771511,2021-08-20,2021,2021-11-23,Suspicious,34.75
P00415,Ariel Allen,24,Female,No,C2024-XYZ00034,Theft reported near Ricardo Center,Theft,6100,107,Yes,Yes,"T. Nagar, Chennai",625 Block of Mcmahon Ferry,190,1,28,26,13.0424,80.2336,893945,153452,2023-03-15,2023,2023-07-04,Inactive,28.01
P00948,Nicholas Casey,29,Male,Yes,C2019-XYZ00035,Kidnapping reported near Jacobs Mountains,Kidnapping,7100,108,No,Yes,"Salt Lake, Kolkata",9112 Block of Katherine Motorway,324,16,1,11,22.585,88.4154,231692,782522,2024-06-15,2024,2024-11-15,Suspicious,52.84
P00225,Chelsea Wolfe,108,Other,No,C2022-XYZ00036,Kidnapping reported near Jensen Coves,Kidnapping,7100,108,No,No,"Salt Lake, Kolkata",2622 Block of Phillips Drive,552,10,16,9,22.585,88.4154,492249,835554,2021-04-14,2021,2021-08-29,Inactive,53.23
P00704,Emily Jarvis,28,Male,Yes,C2024-XYZ00037,Robbery reported near Carla Vista,Robbery,1100,101,No,No,"T. Nagar, Chennai",8927 Block of Mark Forge,611,8,36,8,13.0424,80.2336,346158,317221,2024-02-10,2024,2024-07-18,Suspicious,46.91
P00563,Billy Griffin,29,Other,Yes,C2021-XYZ00038,Drug Offense reported near Nunez Station,Drug Offense,4100,105,Yes,Yes,"Andheri East, Mumbai",6064 Block of Simpson Station,934,1,46,30,19.1197,72.8696,563588,638847,2022-10-16,2022,2022-11-22,Inactive,13.41
P00833,Robert Butler,54,Male,Yes,C2024-XYZ00039,Kidnapping reported near Allen Meadow,Kidnapping,7100,108,Yes,No,"Banjara Hills, Hyderabad",1735 Block of Heather Spur,739,22,42,55,17.4239,78.4291,939304,303600,2022-11-01,2022,2023-02-17,Active,26.58
P00078,Christopher Poole,12,Other,No,C2020-XYZ00040,Cybercrime reported near Jessica Flats,Cybercrime,3100,104,Yes,Yes,"Salt Lake, Kolkata",4492 Block of Christian Crest,128,17,12,24,22.585,88.4154,361993,870890,2024-10-10,2024,2025-01-19,Inactive,47.25
P00121,Sean Bullock,36,Female,Yes,C2021-XYZ00041,Drug Offense reported near Wood Squares,Drug Offense,4100,105,Yes,Yes,"Banjara Hills, Hyderabad",9184 Block of Amy Walk,629,4,32,24,17.4239,78.4291,139646,488454,2023-02-09,2023,2023-04-28,Suspicious,33.46
P00772,Eric Lopez,58,Male,No,C2024-XYZ00042,Theft reported near Steven Corner,Theft,6100,107,No,Yes,"Banjara Hills, Hyderabad",3731 Block of Stephanie Hollow,135,11,3,27,17.4239,78.4291,391126,570329,2025-04-04,2025,2025-05-21,Suspicious,27.75
P00009,Jeremy Smith,42,Female,No,C2019-XYZ00043,Assault reported near Hebert Islands,Assault,1300,102,No,Yes,"Salt Lake, Kolkata",2379 Block of Nancy View,979,28,24,60,22.585,88.4154,751986,323560,2023-08-04,2023,2023-12-17,Inactive,20.14
P00141,Virginia Combs,5,Male,Yes,C2023-XYZ00044,Robbery reported near Kristy Rapid,Robbery,1100,101,Yes,No,"Sector 62, Noida",142 Block of Tim Terrace,741,3,41,10,28.6102,77.367,745029,936662,2023-08-08,2023,2023-11-16,Active,88.85
P00899,Cynthia Adams,41,Male,Yes,C2019-XYZ00045,Robbery reported near Moss Squares,Robbery,1100,101,No,No,"Koramangala, Bangalore",9131 Block of Joe Forges,266,29,46,59,12.9352,77.6146,149366,987612,2024-08-31,2024,2025-02-13,Suspicious,41.28
P00575,Matthew Hill,18,Female,Yes,C2023-XYZ00046,Drug Offense reported near Olivia Burgs,Drug Offense,4100,105,Yes,Yes,"Koramangala, Bangalore",7737 Block of Heather Plaza,125,19,14,9,12.9352,77.6146,883365,252226,2025-01-11,2025,2025-02-22,Inactive,38.24
P00152,Glen Morrow,12,Other,Yes,C2020-XYZ00047,Robbery reported near Rush Estates,Robbery,1100,101,No,Yes,"T. Nagar, Chennai",8538 Block of Randall Cliff,773,20,24,19,13.0424,80.2336,440527,830395,2022-08-19,2022,2022-10-26,Suspicious,42.55
P00352,Dennis Paul,65,Female,No,C2019-XYZ00048,Robbery reported near Katie Village,Robbery,1100,101,Yes,No,"T. Nagar, Chennai",939 Block of Gonzalez Causeway,628,28,46,4,13.0424,80.2336,972886,118502,2023-06-02,2023,2023-10-17,Active,55.94
P00008,Charles Parker,63,Other,No,C2021-XYZ00049,Drug Offense reported near Michelle Way,Drug Offense,4100,105,Yes,No,"Sector 62, Noida",7247 Block of Savage Ferry,430,29,13,62,28.6102,77.367,214015,367086,2021-08-21,2021,2022-01-09,Inactive,51.89
P00960,Emily Romero,5,Female,No,C2023-XYZ00050,Homicide reported near Linda Alley,Homicide,5100,106,No,No,"Banjara Hills, Hyderabad",6177 Block of David Square,532,28,41,22,17.4239,78.4291,223758,388592,2024-05-25,2024,2024-09-09,Active,75.02
P00008,Charles Parker,63,Other,No,C2022-XYZ00051,Kidnapping reported near Juan Lodge,Kidnapping,7100,108,No,No,"Koramangala, Bangalore",833 Block of Donald Islands,998,12,29,6,12.9352,77.6146,871905,116362,2020-12-04,2020,2021-04-10,Inactive,83.77
P00757,Brandon Ramirez,6,Male,No,C2024-XYZ00052,Kidnapping reported near Robles Plains,Kidnapping,7100,108,Yes,No,"Banjara Hills, Hyderabad",9222 Block of Randy Mountain,442,23,24,53,17.4239,78.4291,494254,650528,2023-11-27,2023,2024-01-31,Suspicious,19.97
P00863,Jeremy Lopez,57,Other,Yes,C2024-XYZ00053,Theft reported near Baldwin Valleys,Theft,6100,107,No,Yes,"Andheri East, Mumbai",655 Block of Holmes Dale,309,17,39,76,19.1197,72.8696,721011,241693,2021-05-18,2021,2021-09-06,Inactive,68.49
P00015,Anna Peterson,97,Female,No,C2024-XYZ00054,Fraud reported near Paul Ports,Fraud,2100,103,No,No,"T. Nagar, Chennai",7408 Block of Shannon Stream,576,7,35,51,13.0424,80.2336,104187,735029,2024-11-24,2024,2025-03-10,Suspicious,74.52
P00434,Frank Ray,69,Other,No,C2019-XYZ00055,Robbery reported near Stevens Inlet,Robbery,1100,101,Yes,No,"Koramangala, Bangalore",1515 Block of Lauren Springs,560,24,1,60,12.9352,77.6146,954272,133689,2024-02-11,2024,2024-03-30,Active,6.06
P00894,Scott Davis,91,Female,Yes,C2023-XYZ00056,Assault reported near Katherine Branch,Assault,1300,102,No,Yes,"Banjara Hills, Hyderabad",8955 Block of Joshua Bypass,754,23,32,34,17.4239,78.4291,708366,630092,2025-04-18,2025,2025-08-27,Active,57.54
P00088,Alexa Wolf,88,Male,Yes,C2024-XYZ00057,Cybercrime reported near Cole Lodge,Cybercrime,3100,104,Yes,No,"Salt Lake, Kolkata",9762 Block of Summer Prairie,320,16,16,29,22.585,88.4154,383454,887120,2023-01-20,2023,2023-04-27,Inactive,8.81
P00619,Parker Walker,78,Other,No,C2019-XYZ00058,Homicide reported near Price Cove,Homicide,5100,106,Yes,No,"Andheri East, Mumbai",9506 Block of Jennifer Parkways,319,5,41,29,19.1197,72.8696,918149,589580,2024-08-12,2024,2024-08-14,Active,70.36
P00514,Sierra Price,13,Other,No,C2024-XYZ00059,Cybercrime reported near Christopher Street,Cybercrime,3100,104,Yes,No,"T. Nagar, Chennai",8286 Block of Angela Pass,738,18,15,52,13.0424,80.2336,382261,910127,2020-10-10,2020,2021-01-25,Suspicious,13.19
P00563,Billy Griffin,29,Other,Yes,C2021-XYZ00060,Homicide reported near David Terrace,Homicide,5100,106,No,No,"Viman Nagar, Pune",3000 Block of Wise Station,326,6,27,15,18.5679,73.9143,357987,416978,2020-12-18,2020,2021-03-01,Inactive,71.3
P00227,Matthew Macias DDS,59,Other,Yes,C2024-XYZ00061,Theft reported near Michelle Light,Theft,6100,107,Yes,No,"Andheri East, Mumbai",2314 Block of Warner Mountain,886,2,2,40,19.1197,72.8696,579509,672217,2021-10-26,2021,2022-02-22,Suspicious,35.88
P00769,Brandon Johnson,74,Male,No,C2021-XYZ00062,Homicide reported near Erica Court,Homicide,5100,106,No,Yes,"Salt Lake, Kolkata",5668 Block of Linda Squares,751,16,14,42,22.585,88.4154,404295,607581,2021-08-18,2021,2021-12-28,Active,25.1
P00783,Glenn Cruz,97,Other,No,C2021-XYZ00063,Cybercrime reported near Renee Land,Cybercrime,3100,104,No,Yes,"Andheri East, Mumbai",4154 Block of Katie Manor,154,21,30,75,19.1197,72.8696,349466,372671,2023-11-03,2023,2024-04-28,Suspicious,36.54
P00464,Bryan Barton,79,Male,No,C2019-XYZ00064,Cybercrime reported near Helen Gateway,Cybercrime,3100,104,Yes,Yes,"Salt Lake, Kolkata",2284 Block of Martin Extension,547,9,35,29,22.585,88.4154,228924,491404,2025-05-21,2025,2025-06-03,Active,34.64
P00412,Randall Gilbert,35,Female,No,C2020-XYZ00065,Robbery reported near Jonathan Bypass,Robbery,1100,101,Yes,No,"T. Nagar, Chennai",8611 Block of Pearson Valleys,213,8,4,38,13.0424,80.2336,748867,326383,2024-01-17,2024,2024-02-08,Suspicious,19.68
P00662,Craig Ford,23,Female,No,C2023-XYZ00066,Kidnapping reported near Graham Plains,Kidnapping,7100,108,Yes,Yes,"Koramangala, Bangalore",9485 Block of Gregory Ranch,972,19,13,59,12.9352,77.6146,844399,658264,2025-03-30,2025,2025-08-17,Active,67.02
P00132,Samuel Burke,27,Male,No,C2020-XYZ00067,Assault reported near David Coves,Assault,1300,102,No,Yes,"Sector 62, Noida",4113 Block of Nicholas Spurs,152,22,39,46,28.6102,77.367,465968,397683,2023-12-29,2023,2024-04-24,Suspicious,77.9
P00693,Anthony Rivera,63,Other,Yes,C2024-XYZ00068,Robbery reported near Dawn Fort,Robbery,1100,101,No,Yes,"Andheri East, Mumbai",2769 Block of Davis Land,445,29,15,31,19.1197,72.8696,921727,145914,2025-05-16,2025,2025-09-05,Active,99.89
P00396,Patrick Delgado,60,Other,No,C2020-XYZ00069,Kidnapping reported near Anna Point,Kidnapping,7100,108,Yes,Yes,"Andheri East, Mumbai",2650 Block of Peterson Way,514,14,33,64,19.1197,72.8696,203724,366914,2021-06-19,2021,2021-11-10,Suspicious,29.62
P00759,Patrick Rodriguez PhD,22,Male,No,C2020-XYZ00070,Fraud reported near Kimberly Roads,Fraud,2100,103,Yes,Yes,"Andheri East, Mumbai",6898 Block of Hamilton Point,159,9,28,36,19.1197,72.8696,337591,843232,2025-06-05,2025,2025-09-01,Inactive,45.06
P00425,Monica Cook,40,Other,Yes,C2022-XYZ00071,Robbery reported near Watson Forest,Robbery,1100,101,No,Yes,"Viman Nagar, Pune",9720 Block of Randy Parkway,292,14,17,62,18.5679,73.9143,469295,984701,2021-08-10,2021,2021-09-23,Inactive,91.3
P00952,Billy Moore,84,Other,No,C2022-XYZ00072,Theft reported near Sanders Viaduct,Theft,6100,107,Yes,No,"Sector 62, Noida",5701 Block of Nancy Street,104,26,38,65,28.6102,77.367,141938,619621,2022-08-09,2022,2022-11-04,Suspicious,61.49
P00384,Terri Nguyen,64,Female,Yes,C2019-XYZ00073,Fraud reported near Robert Shoal,Fraud,2100,103,Yes,No,"Salt Lake, Kolkata",5220 Block of Moreno Shoals,209,17,42,1,22.585,88.4154,186535,545476,2025-01-04,2025,2025-06-14,Suspicious,86.21
P00018,Jason Davis,99,Male,No,C2021-XYZ00074,Kidnapping reported near Nathan Parkways,Kidnapping,7100,108,Yes,Yes,"T. Nagar, Chennai",2055 Block of Baker Courts,214,19,33,21,13.0424,80.2336,730374,128225,2023-05-31,2023,2023-08-03,Suspicious,41.24
P00568,Nicole Hernandez,61,Other,No,C2023-XYZ00075,Drug Offense reported near Jones Common,Drug Offense,4100,105,Yes,Yes,"Sector 62, Noida",6407 Block of Brooks Junctions,547,3,6,50,28.6102,77.367,668515,924364,2023-09-14,2023,2024-02-09,Active,55.49
P00417,Mark James,85,Female,No,C2021-XYZ00076,Theft reported near Veronica Wells,Theft,6100,107,No,Yes,"Sector 62, Noida",2486 Block of Bryant Divide,329,20,24,2,28.6102,77.367,694993,107258,2020-10-24,2020,2021-04-09,Inactive,8.52
P00082,Nicholas White,21,Male,Yes,C2024-XYZ00077,Homicide reported near Tara Lane,Homicide,5100,106,No,No,"T. Nagar, Chennai",9200 Block of Christine Circles,786,17,19,30,13.0424,80.2336,369984,466711,2022-12-18,2022,2023-03-05,Inactive,88.04
P00707,Kristen Collins,100,Male,Yes,C2024-XYZ00078,Theft reported near Nielsen Squares,Theft,6100,107,Yes,Yes,"Andheri East, Mumbai",8938 Block of Jones View,210,4,16,51,19.1197,72.8696,761025,914951,2021-12-29,2021,2022-04-12,Suspicious,34.35
P00189,Stephanie Bowman,75,Female,No,C2020-XYZ00079,Fraud reported near Lisa Track,Fraud,2100,103,Yes,No,"Sector 62, Noida",1571 Block of John Terrace,251,28,7,33,28.6102,77.367,152542,500898,2022-08-24,2022,2022-09-14,Inactive,22.53
P00482,Michael Coleman,66,Female,No,C2023-XYZ00080,Homicide reported near Christina Inlet,Homicide,5100,106,Yes,Yes,"Koramangala, Bangalore",5704 Block of Sherman Motorway,368,14,11,21,12.9352,77.6146,945152,471980,2020-12-22,2020,2021-03-05,Active,0.79
P00389,Nancy Howard,47,Male,No,C2022-XYZ00081,Assault reported near Reginald Stream,Assault,1300,102,No,No,"Viman Nagar, Pune",3783 Block of Quinn Isle,156,6,22,67,18.5679,73.9143,747136,123777,2025-04-07,2025,2025-04-30,Active,47.88
P00134,William Johnson,90,Other,Yes,C2019-XYZ00082,Cybercrime reported near Keith Parkway,Cybercrime,3100,104,Yes,Yes,"Andheri East, Mumbai",2236 Block of Sarah Glens,275,11,50,50,19.1197,72.8696,913429,280115,2023-05-21,2023,2023-10-12,Active,22.54
P00758,Christopher White IV,77,Other,Yes,C2021-XYZ00083,Assault reported near Terry Prairie,Assault,1300,102,Yes,No,"T. Nagar, Chennai",5354 Block of Clark Walks,255,27,46,76,13.0424,80.2336,698284,608154,2021-09-15,2021,2022-03-13,Active,7.02
P00386,Henry Harrington,67,Female,Yes,C2023-XYZ00084,Kidnapping reported near May Curve,Kidnapping,7100,108,Yes,Yes,"Viman Nagar, Pune",8869 Block of Stone Lane,401,25,1,10,18.5679,73.9143,485670,759811,2022-12-08,2022,2023-03-27,Suspicious,29.64
P00557,Steve Graham,99,Other,No,C2020-XYZ00085,Kidnapping reported near Alexander Keys,Kidnapping,7100,108,Yes,No,"Sector 62, Noida",3686 Block of Erik Squares,314,27,13,76,28.6102,77.367,959211,335922,2021-10-31,2021,2021-12-29,Inactive,20.07
P00979,Rebecca Hicks,78,Male,No,C2024-XYZ00086,Assault reported near Matthew Vista,Assault,1300,102,Yes,No,"T. Nagar, Chennai",9808 Block of Flores Estate,505,29,1,40,13.0424,80.2336,177469,357124,2023-05-22,2023,2023-11-08,Inactive,34.86
P00132,Samuel Burke,27,Male,No,C2019-XYZ00087,Homicide reported near Bolton Plain,Homicide,5100,106,No,Yes,"Sector 62, Noida",1156 Block of Rubio Terrace,823,23,21,42,28.6102,77.367,101356,338503,2022-10-10,2022,2023-03-21,Inactive,68.98
P00351,Nicole Jordan,80,Male,No,C2024-XYZ00088,Drug Offense reported near Ford Fort,Drug Offense,4100,105,Yes,No,"Andheri East, Mumbai",1924 Block of Williams Center,640,8,44,6,19.1197,72.8696,671588,255005,2022-04-29,2022,2022-08-11,Suspicious,38.54
P00713,Shane Hart,51,Female,Yes,C2020-XYZ00089,Kidnapping reported near Joseph Ridges,Kidnapping,7100,108,Yes,Yes,"Sector 62, Noida",5341 Block of Bass Turnpike,794,29,48,76,28.6102,77.367,212182,832683,2021-08-26,2021,2022-01-08,Inactive,83.66
P00772,Eric Lopez,58,Male,No,C2022-XYZ00090,Drug Offense reported near Ruiz Ramp,Drug Offense,4100,105,Yes,Yes,"Koramangala, Bangalore",7021 Block of Harris Lane,900,7,45,18,12.9352,77.6146,695099,372648,2021-09-26,2021,2022-02-24,Inactive,39.26
P00361,Richard Gross,48,Other,Yes,C2019-XYZ00091,Homicide reported near Richard Park,Homicide,5100,106,No,No,"Viman Nagar, Pune",7383 Block of Chad Lights,277,17,22,60,18.5679,73.9143,228595,212726,2022-02-14,2022,2022-04-03,Suspicious,82.83
P00846,Taylor Howell,2,Female,Yes,C2022-XYZ00092,Theft reported near Cisneros Village,Theft,6100,107,Yes,No,"T. Nagar, Chennai",6669 Block of Ashlee Junctions,293,4,3,47,13.0424,80.2336,758464,831757,2024-07-15,2024,2024-09-17,Active,28.82
P00846,Taylor Howell,2,Female,Yes,C2020-XYZ00093,Theft reported near Alex Island,Theft,6100,107,No,Yes,"Sector 62, Noida",6319 Block of Ashlee Alley,686,13,39,4,28.6102,77.367,109644,398046,2021-03-21,2021,2021-08-27,Suspicious,50.12
P00662,Craig Ford,23,Female,No,C2023-XYZ00094,Kidnapping reported near Jerry Cove,Kidnapping,7100,108,No,Yes,"Andheri East, Mumbai",9373 Block of Clark Cliff,984,22,15,32,19.1197,72.8696,740930,246308,2021-04-26,2021,2021-07-05,Suspicious,96.09
P00486,Taylor Rice,36,Female,No,C2024-XYZ00095,Cybercrime reported near Mitchell Lodge,Cybercrime,3100,104,No,Yes,"Sector 62, Noida",7179 Block of Colleen Spur,588,18,5,52,28.6102,77.367,658586,879823,2023-12-31,2023,2024-05-30,Inactive,84.0
P00924,Keith Avery,38,Male,No,C2020-XYZ00096,Fraud reported near Kyle Trail,Fraud,2100,103,Yes,No,"Andheri East, Mumbai",7438 Block of Cory Estates,612,10,38,30,19.1197,72.8696,558826,786977,2023-08-25,2023,2023-10-06,Active,18.28
P00440,Kyle Ball,62,Male,No,C2021-XYZ00097,Kidnapping reported near Contreras Trafficway,Kidnapping,7100,108,No,Yes,"Andheri East, Mumbai",9801 Block of Jackson Street,975,24,14,73,19.1197,72.8696,649009,177800,2023-01-01,2023,2023-05-06,Active,38.87
P00557,Steve Graham,99,Other,No,C2020-XYZ00098,Homicide reported near Smith Brook,Homicide,5100,106,Yes,No,"Sector 62, Noida",3676 Block of Miller Route,312,17,8,71,28.6102,77.367,865080,164099,2021-01-15,2021,2021-04-23,Inactive,96.89
